,year,points
1,2002,87.5
2,2003,88.36363636363636
3,2004,88.0
4,2005,88.16363636363636
5,2006,87.41379310344827
6,2007,86.68852459016394
7,2008,88.33333333333333
8,2009,89.85714285714286
9,2010,87.80555555555556
10,2011,89.20344827586207
11,2012,88.76543209876543
12,2013,89.10720887245841
13,2014,88.64954682779457
14,2015,88.82627118644068
15,2016,88.59950248756219
16,2017,88.76255319148936
17,2018,89.65515436944008
18,2019,90.08114674441205
19,2020,90.28825314260945
20,2021,89.88643216080402
21,2022,87.6608695652174
